year,month,pitcher_throws,bat_side,pitch_type,release_speed,plate_speed,hit_exit_speed,hit_spinrate,hit_vertical_angle,hit_bearing,hit_distance,event_result
2016,6,R,R,FF,93.8155437,86.53012848,96.29985046,3600.142822,34.55632782,9.257781982,360.4423218,field_out
2016,4,R,L,FF,91.65838153,84.45046234,94.74472809,4479.321289,25.31877518,-33.12820435,323.3684082,field_out
2016,7,R,R,FT,86.63427185,80.10427094,95.74723053,2001.910889,7.733906269,-39.64126587,153.6348419,field_out
2016,5,R,R,FF,89.44029974,82.98846436,100.4160614,2960.81543,29.96059227,4.186928272,394.5291443,field_out
2016,5,L,R,FF,91.49917258,83.85903168,101.2027206,,0.743559062,-17.80196381,49.95169449,fielders_choice_out
2016,9,R,L,FF,96.17552844,88.73236084,,,,,,field_out
2016,8,L,L,FF,91.36922668,85.40286255,69.83001709,,-37.86849594,-32.736763,2.556708813,field_out
2016,4,R,L,FF,90.96983585,83.74523926,39.48171616,,-2.792197227,29.37512016,19.65251541,force_out
2016,5,R,L,FT,94.15296387,87.51481628,,,,,,field_out
2016,4,R,R,FF,87.07012704,79.63639069,100.1206894,1744.695557,18.11632538,5.725358963,354.3708801,field_out
2016,9,L,L,FF,94.35048953,86.38271332,97.26145935,,-21.42296219,-7.780852318,8.33340168,field_out
2016,4,R,R,FT,94.73471811,87.0643692,82.5566864,,-7.204068184,-4.927633762,17.69579697,field_out
2016,7,L,R,FT,90.90419168,84.29598999,105.3762283,,-9.294780731,-13.55764675,13.1057663,grounded_into_double_play
2016,9,L,R,FT,91.22083008,85.1612854,98.89762115,4728.047363,38.38749695,35.66070175,361.7073059,field_out
2016,9,R,R,FT,95.60873874,88.63806152,107.3458786,,-3.397171497,-15.34575176,22.05652046,field_out
2016,6,R,L,FT,90.94839847,85.36773682,82.15326691,1227.108521,9.638126373,-6.424990654,155.6787109,double_play
2016,4,R,L,FF,87.46815463,81.43582153,96.68380737,1774.025146,17.30476379,39.6068573,230.0184784,double
2016,9,R,R,FF,92.84447211,85.09606934,92.94728088,900.508606,11.78695774,-5.761054993,224.0078583,single
2016,4,R,R,FT,88.82407919,82.4427948,99.09346771,,-0.358323157,-34.94356918,33.48932648,field_out
2016,7,R,L,FF,94.07405142,87.03807831,74.54844666,,-35.68636322,17.23433876,4.582056999,field_out
2016,8,R,R,FT,95.08312753,87.2257309,103.8755493,1058.586304,7.524753571,-17.06688118,163.2510681,double_play
2016,9,R,R,FT,89.47782556,81.92634583,91.15254974,3904.134033,15.42286396,31.31294441,271.2265015,field_out
2016,8,R,R,FT,95.15781494,87.13162994,95.53939056,,-6.808573723,-30.51588631,17.2306633,force_out
2016,6,L,R,FT,89.85225122,83.08161926,62.99863434,,-30.05703926,24.6505146,3.82782793,field_out
2016,9,R,R,FF,94.22097031,87.06600189,98.00712585,3027.927246,19.57747459,12.69013405,330.4578247,double
2016,6,R,R,FT,90.54763397,82.73432922,67.27780914,,-4.854749203,171.6224213,31.99693108,hit_by_pitch
2016,9,L,R,FF,90.29296625,82.60642242,80.80016327,5068.507324,57.05203247,16.50448608,180.5871124,field_out
2016,6,R,R,FT,93.12846533,85.93873596,91.08348846,,-21.39611435,-19.10882568,8.561757088,single
2016,7,R,R,FT,91.8836405,85.25302124,90.45462036,1070.772095,10.59921169,-4.222309589,208.2650146,single
2016,10,R,L,FF,89.11315079,82.96561432,81.51638794,4676.088379,42.48585129,-29.4086132,272.4695435,field_out
2016,4,L,L,FT,92.26809802,84.75177765,74.58260345,2404.158691,34.49433899,12.10184383,264.1064758,field_out
2016,7,R,L,FT,89.24946545,82.71618652,,,,,,field_out
2016,7,L,R,FF,91.40239218,84.1169281,104.3822632,,-5.702723026,16.36591339,23.79024315,field_out
2016,8,L,R,FF,89.87562421,83.36303711,96.53642273,1398.440552,0.881122589,5.45191431,82.54308319,single
2016,4,L,R,FT,88.15706454,81.61997223,96.73705292,3799.658447,12.96130562,34.42388153,239.2126312,single
2016,5,R,L,FT,93.19454657,86.83425903,84.04431152,,-12.4635334,24.06421852,11.79615688,field_out
2016,7,L,R,FT,89.54243948,82.67166901,92.03425598,1909.946777,12.80226994,14.32536507,249.0909729,single
2016,8,R,L,FT,90.93111328,84.14043427,92.88291931,4614.421387,22.86232185,-44.26425171,288.3395386,double
2016,9,R,R,FT,93.01772983,85.08711243,106.0966797,3506.039307,30.47302437,4.046639442,449.7771301,home_run
2016,4,R,R,FT,92.5659631,85.42110443,104.2412949,,-4.10983181,-18.66122437,25.61181259,field_out
2016,7,R,R,FF,95.41623941,87.7427597,92.62863922,,-6.591970444,-18.91617584,20.02355766,field_out
2016,6,R,L,FT,96.43421307,89.75056458,95.15454865,,-17.36464882,26.05308533,8.716231346,field_out
2016,6,R,R,FF,93.6203699,86.16255951,87.99835205,,-35.32667923,-20.59444618,5.831543446,field_out
2016,6,L,L,FF,91.90632666,83.9130249,92.72307587,2926.416016,16.92923737,-23.81983757,263.578064,single
2016,9,R,L,FT,92.95569672,85.99154663,101.8324509,1813.851318,26.79947853,15.86166191,415.2834778,home_run
2016,8,L,L,FT,94.76023483,87.53907013,95.24545288,,-17.03531837,24.49334335,6.994194984,field_out
2016,9,R,L,FT,93.90140768,86.80282593,104.0216751,,3.099223614,4.258285046,95.01184082,single
2016,6,R,R,FT,90.66880719,84.36460876,108.0044937,,-6.544124603,-27.10652733,16.66938972,single
2016,4,L,R,FF,91.81289716,84.23956299,99.03585815,1990.208618,8.680823326,-26.55418396,146.162323,single
2016,6,L,R,FF,91.19732181,85.14346313,91.21533966,1103.181763,5.219089985,-18.6177578,91.84011078,grounded_into_double_play
2016,7,R,L,FT,93.39882605,85.87712097,70.40406036,2540.812744,29.60976791,9.440002441,252.2549591,single
2016,6,R,R,FT,94.49265265,88.56417847,,,,,,field_out
2016,6,R,L,FF,95.31715918,86.62287903,80.18885803,1697.46814,-0.56876421,-8.95526123,48.8118515,field_out
2016,4,L,L,FF,93.37792981,86.69670105,,,,,,force_out
2016,9,R,R,FF,98.95645587,92.01656342,76.75273895,,0.869929135,25.3315258,34.29782486,field_out
2016,5,R,L,FT,86.80403819,80.54937744,104.6797409,,-7.829763889,19.73820305,13.1242733,field_out
2016,8,L,R,FT,90.90201672,84.14116669,83.50526428,1356.406982,11.92657852,-8.756142616,206.7169952,single
2016,7,R,R,FF,93.90909808,86.0151062,85.93621826,,-7.951915741,-23.09612083,19.6397686,grounded_into_double_play
2016,7,R,L,FF,93.56310297,86.50812531,86.39054871,,-14.6832428,34.57690048,6.282734394,field_out
2016,8,R,R,FT,93.78084845,86.35515594,89.99533844,,3.945046663,-16.14315987,99.74084473,grounded_into_double_play
2016,8,R,L,FF,91.18566653,85.01086426,,,,,,single
2016,5,R,R,FT,91.90483853,86.09938812,95.07852936,,-19.28504181,18.1427002,5.299669743,field_out
2016,5,R,L,FT,93.22524573,86.67012024,87.49598694,4850.868652,33.52854919,-39.84389496,300.6870422,field_out
2016,7,R,L,FT,95.61600247,88.29719543,87.29438782,3695.516846,21.87799835,-27.20284081,282.7510071,field_out
2016,7,L,L,FF,87.93685272,81.1502533,107.0880814,,-4.477984905,6.401148796,19.80806541,single
2016,5,R,L,FT,90.10141391,83.90235138,97.56929779,,-11.55982494,20.64773178,15.72486877,field_out
2016,9,R,R,FT,95.74100528,89.26104736,88.96882629,,-7.288918018,-9.852620125,21.03790474,single
2016,6,L,R,FT,88.54586157,83.02339935,105.4862137,,-9.530488014,-11.1443224,12.73618507,field_out
2016,5,R,R,FT,89.75104807,83.50196075,88.31309509,895.2803345,11.13464451,-24.82813072,187.2803802,single
2016,4,R,R,FF,90.82060672,83.82715607,,,,,,sac_bunt
2016,5,L,R,FT,93.27960925,85.88213348,89.56504059,,-16.95499611,-38.83792114,11.44983387,field_out
2016,8,R,R,FF,92.97369995,86.25552368,88.85968781,2379.673584,30.09730911,-34.76590347,345.9449463,home_run
2016,9,R,R,FF,94.08290735,86.3616333,96.84863281,4855.924805,65.26651764,-17.14400864,173.1810455,field_out
2016,9,R,R,FF,96.16933658,88.75539398,78.12763977,4582.172363,14.37064743,42.96866989,177.9212494,single
2016,7,R,L,FT,93.31058939,86.68468475,101.5123367,,-13.81664658,24.67512894,11.64702225,single
2016,8,R,R,FF,89.93111163,82.02601624,100.3076019,2891.157471,38.15089035,-20.58748627,380.3916016,double
2016,6,L,R,FF,90.74338013,83.42068481,71.6096344,3199.365967,53.18562317,-32.57134628,193.0687866,field_out
2016,5,R,L,FT,90.65719354,83.04657745,69.28847504,,-16.24519348,-30.76057053,7.683540344,field_out
2016,9,R,L,FT,90.37009918,82.88127136,92.97782898,,-21.15408134,5.052327633,7.84400034,field_out
2016,7,R,L,FF,92.88475565,86.43818665,92.67064667,4781.716309,48.12579346,-10.01683044,281.0216064,field_out
2016,9,R,L,FT,89.07683212,82.81507111,83.00074768,,-38.6458931,-23.72126198,3.136297464,field_out
2016,8,L,R,FT,89.89280533,83.62558746,81.44839478,3358.194824,10.0834589,32.74955368,150.5667419,single
2016,7,L,L,FF,91.68955939,85.05370331,81.8674469,2234.174072,5.952148914,19.48858833,87.45431519,field_out
2016,6,R,R,FF,95.06990088,88.39997864,74.52095795,5344.154785,41.63830566,34.47906876,219.5704956,field_out
2016,8,R,L,FT,90.84370914,84.21598816,106.5775299,1176.542358,15.63357735,12.3431654,345.8148804,field_out
2016,4,L,R,FF,87.99064389,80.34152985,94.62217712,5145.196289,40.46216583,-1.475591898,314.2191772,field_error
2016,10,L,R,FF,93.11867282,86.67401123,93.1745224,,-19.28593445,7.658081055,6.397676945,grounded_into_double_play
2016,5,R,R,FT,93.36533795,86.37741852,,,,,,field_out
2016,7,R,L,FF,95.0348414,88.08099365,105.9123077,,0.910715044,-1.911712646,59.2388649,single
2016,8,R,R,FT,91.25843915,85.26581573,92.53400421,,-23.18886566,-9.09223938,6.264521122,field_out
2016,8,R,L,FF,92.27172989,85.95083618,96.65647888,1747.029419,19.33812714,29.69391441,345.4434814,field_out
2016,5,L,R,FT,88.29440945,80.15296936,65.66654205,,-14.33458805,23.825634,10.27254677,field_out
2016,7,R,R,FT,91.37791611,84.51219177,81.61211395,5283.67334,48.88152313,38.04104233,249.7124786,field_out
2016,4,L,R,FT,87.99253787,80.96762848,82.12902069,,-15.46980953,-25.13710594,8.935160637,grounded_into_double_play
2016,7,R,R,FF,90.04188876,83.04814911,94.80292511,4740.631348,59.31254578,17.47881699,234.4999847,field_out
2016,8,R,L,FF,93.97760403,86.15305328,95.7542038,4626.859863,53.01639175,-19.26981544,296.3937073,field_out
2016,5,L,R,FF,94.27758163,86.81816101,103.3373108,,-3.116767883,-8.350530624,28.18622208,single
2016,9,R,R,FF,93.46904907,85.74816895,94.19096375,4256.721191,17.91413307,35.14131165,302.7663574,field_out
2016,9,R,R,FT,92.71828296,85.57219696,95.19075775,,-6.093864441,-19.05521584,15.32766151,force_out
2016,5,L,L,FF,92.43365494,84.34579468,102.7791595,1315.758911,19.6997509,14.7317934,351.5321045,double
2016,4,R,R,FT,93.14536548,85.70420837,106.4880524,2194.118896,5.529453754,-28.33782196,110.4654465,single
2016,5,R,R,FF,92.15432382,84.61676788,97.25704193,4657.346191,11.0624218,39.93595505,216.3344116,single
2016,5,R,L,FT,95.28218295,88.47409821,90.55023193,2271.944336,17.6941967,30.26789856,213.2548981,single
2016,9,R,L,FF,93.49348352,85.88710022,84.79027557,1499.949463,10.26662064,-12.60467815,167.6678162,field_out
2016,7,R,L,FT,90.68591547,83.88657379,103.3460007,3034.254639,34.91714096,28.29066658,392.2905884,home_run
2016,6,L,R,FF,87.19906351,80.47311401,37.19326401,,-42.5462265,21.81069946,4.920364857,sac_bunt
2016,7,R,R,FF,94.55179276,86.22879791,91.81044006,1360.404297,8.057128906,-24.65561867,145.8882294,single
2016,6,L,R,FT,88.61023615,82.89828491,,,,,,field_out
2016,7,R,R,FT,94.30859299,86.78903198,103.2051697,1189.211304,12.58892155,13.00652599,275.148407,double
2016,4,L,R,FF,90.19686227,83.63056183,88.82215881,5354.114258,52.96491623,-21.8680439,246.0695496,field_out
2016,8,L,R,FF,90.29552625,83.8086853,,,,,,field_out
2016,7,R,R,FT,94.48016486,87.90991974,83.20332336,,-22.63848305,19.56715775,4.936723232,field_out
2016,7,R,R,FT,93.88375827,88.13948059,51.2883873,2265.231201,1.517583609,-44.21866608,36.13132095,field_out
2016,7,R,L,FF,94.1414855,86.95254517,87.78956604,2141.194336,3.212357521,-14.12913036,103.9342499,single
2016,7,L,R,FF,96.47948132,89.88409424,95.09331512,953.7529907,6.528037071,0.41709739,142.983017,field_out
2016,4,R,L,FT,83.7230291,77.57978058,97.06767273,,-8.637124062,-14.16490841,11.5703783,grounded_into_double_play
2016,4,L,R,FT,87.56181308,80.24002838,68.58272552,,87.65605927,82.31629181,17.01033783,field_out
2016,8,R,L,FF,88.84471527,81.96504974,101.3465042,2647.475342,23.12195206,-9.228149414,393.5444336,field_out
2016,5,L,R,FT,91.70557498,84.64212036,100.8964005,2266.405273,26.16667366,-23.58256149,381.0542603,home_run
2016,7,R,L,FT,89.90626093,83.97202301,72.34632111,2335.750732,16.72729492,-10.66427898,186.7891083,single
2016,7,R,R,FF,92.10655801,84.87871552,102.6582336,1311.855835,6.778413296,-20.42016029,129.7687225,single
2016,4,R,R,FF,92.55018686,85.52919006,93.03427887,,-32.29970551,11.50982857,5.956049442,field_out
2016,5,L,R,FT,91.66413632,84.52622223,85.9162674,,-4.022270679,-8.975946426,18.91953659,grounded_into_double_play
2016,9,R,R,FF,92.58523593,85.59819794,89.23941803,3116.845703,32.88612366,-14.8253746,306.3555603,field_out
2016,8,L,L,FT,88.3638728,81.05310059,94.53216553,,-17.7371788,18.81354332,8.403891563,field_out
2016,6,R,L,FT,88.42841388,80.46800995,85.99306488,2981.308838,34.45016098,-38.02440262,329.2936707,sac_fly
2016,5,R,L,FF,92.30685181,84.77283478,104.9989395,846.9007568,22.03060341,5.474624157,362.9640503,double
2016,8,R,R,FT,95.44869727,87.91959381,90.26266479,4701.424805,41.35692596,30.87174988,313.674469,field_out
2016,9,R,R,FT,93.48176581,85.47760773,80.93447876,4499.53418,57.7973671,30.25994873,195.0586243,field_out
2016,8,R,R,FF,97.39931134,90.52581787,93.03370667,4363.320313,19.31004715,41.19113922,307.9379272,double
2016,5,R,R,FT,91.16954688,84.45249176,88.53610992,,-20.59448624,-30.37186623,8.421575546,field_out
2016,8,R,L,FF,96.47931482,88.73947906,106.6991501,,0.049032766,-1.534146786,45.04501724,field_out
2016,5,R,L,FF,91.57287137,84.87706757,105.901619,890.0009766,11.04424,22.50761414,256.0327148,single
2016,4,R,R,FT,89.16506879,83.0710144,86.77554321,3050.677002,29.67268562,-8.952600479,337.4877014,field_out
2016,4,R,R,FT,93.46298209,86.88238525,97.61785889,,-14.40965843,-15.66894722,8.218885422,force_out
2016,7,R,L,FT,90.1783075,83.40464783,103.5168533,,-2.63529563,-13.99225807,45.11400223,field_out
2016,8,R,L,FT,89.83717221,84.911026,97.68119812,4662.650879,42.33081055,-4.406324387,325.3668213,sac_fly
2016,5,R,L,FT,93.94610358,86.94100189,97.21611023,,-3.303842068,40.22428513,26.74517059,field_out
