ID,TEAM,Team_Season,Season End,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,+/-,AST%,AST/TO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,FTA RATE,FT Rate,OPP EFG%,OPP FTA RATE,OPP FT Rate,OPP TOV %,OPP REB %,OPP_FGM,OPP_FGA,OPP_FG%,OPP_3PM,OPP_3PA,OPP_3P%,OPP_FTM,OPP_FTA,OPP_FT%,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_+/-_Per_Game,Possessions,Plus Minus Per Possession,Shooting Factor,Crashing Factor,Protecting Factor,Attacking Factor,Residual W,Column 70
121,Phoenix Suns,Phoenix Suns2009,2009,82,46,36,0.561,3951,8974,3373,6695,50.4,553,1445,38.3,1675,2251,74.4,900,2520,3420,1905,1288,589,420,369,158,56.5,1.48,30.8,68.2,50.3,16.1,54.5,58.4,96.99,0.336,0.250186706,51.1,0.3,0.232205368,14.6,31.8,40,85.7,46.7,7.6,19.9,38.3,19.9,25.7,77.5,12.1,28.7,40.8,21.2,14.2,8.6,4.5,5.1,-1.9,7750.5024,0.020385775,3.4,99,1.5,1.798133894,-2.988071064,9.5
122,Golden State Warriors,Golden State Warriors2009,2009,82,29,53,0.354,3976,8905,3231,7055,45.8,550,1475,37.3,1893,2392,79.1,953,2492,3445,1711,1201,638,527,414,-307,53,1.42,29.3,65.2,47.3,14.6,49.7,54.9,99.57,0.339,0.26832034,50.8,0.323,0.251409245,14.9,34.8,41.5,88.7,46.8,7.1,18.7,38,22.3,28.6,77.9,14.2,32.9,47.1,24.1,15,7.9,5,6.4,3.7,8021.2608,-0.038273285,-1.1,94.5,-0.3,1.691109554,-2.537723254,0.2
123,Los Angeles Lakers,Los Angeles Lakers2009,2009,82,65,17,0.793,3956,8768,3307,6981,47.4,547,1516,36.1,1607,2087,77,1015,2587,3602,1908,1103,718,420,392,628,57.7,1.73,32.6,69.8,51.4,14,51.3,55.5,95.49,0.299,0.230196247,49,0.283,0.212740385,16.2,30.2,37.2,83.2,44.7,7.1,20.7,34.5,17.7,23.5,75.3,11.7,29.8,41.5,22.6,15.5,7.7,4.8,5.1,-7.7,7667.7888,0.081901056,2.3,102.4,-2.2,1.745586234,3.81308995,9.9
124,New York Knicks,New York Knicks2009,2009,82,32,50,0.39,3961,8627,3157,7091,44.5,823,2284,36,1490,1900,78.4,911,2545,3456,1738,1174,610,204,437,-214,55.1,1.48,27.7,69.6,48,14.6,50.3,54.4,97.82,0.268,0.210125511,52,0.284,0.215366705,14.7,30.4,41.2,85.9,48,7,19.8,35.1,18.5,24.4,75.8,11.6,34.5,46.1,21.6,14.5,8,5.3,2.5,2.6,7862.4,-0.027218152,-1.7,97.3,-0.1,-0.524119426,1.154327166,1.9
125,Indiana Pacers,Indiana Pacers2009,2009,82,36,46,0.439,3966,8617,3220,7080,45.5,652,1725,37.8,1525,1890,80.7,924,2661,3585,1775,1189,573,434,444,-91,55.1,1.49,29.1,70.7,49.8,14.8,50.1,54.5,97.34,0.267,0.21539548,49.9,0.354,0.270011947,14.3,29.3,38.3,83.7,45.8,6.9,18.5,37.5,22.6,29.6,76.4,11.1,33,44.1,21.1,14,7.7,5.4,5.3,1.1,7849.536,-0.011593042,0.2,99.8,0.5,-5.461646721,0.190408158,5.7
126,Denver Nuggets,Denver Nuggets2009,2009,82,54,28,0.659,3946,8555,3058,6510,47,548,1477,37.1,1891,2487,76,905,2507,3412,1820,1257,710,492,447,280,59.5,1.45,31.1,68.3,50.3,16,51.2,56.3,95.39,0.382,0.29047619,48.5,0.331,0.257907543,16.1,31.7,36.2,82.2,44,7.3,20,36.6,21.2,27.2,78.2,12.1,29.2,41.2,21.4,15.4,7.9,5.5,6,-3.4,7638.0288,0.036658673,2.7,99.4,-0.1,3.25686479,0.93877843,9.1
127,Utah Jazz,Utah Jazz2009,2009,82,48,34,0.585,3976,8492,3143,6623,47.5,392,1122,34.9,1814,2352,77.1,940,2423,3363,2024,1210,719,374,424,217,64.4,1.67,31.6,69.3,50.5,15.5,50.4,55.4,94.47,0.355,0.273894006,50.5,0.343,0.261964736,16.9,30.7,36.8,79.4,46.4,6.5,18,36.1,20.8,27.2,76.3,11.1,29.2,40.3,20,16.1,8,5.2,4.6,-2.6,7610.7648,0.028512246,-0.1,100.9,-1.4,1.192927022,0.813746255,10.2
128,Chicago Bulls,Chicago Bulls2009,2009,82,41,41,0.5,3986,8378,3126,6846,45.7,493,1293,38.1,1633,2052,79.6,970,2481,3451,1732,1192,615,453,449,-23,55.4,1.45,32.1,67.5,49.8,15.3,49.3,54.1,94.1,0.3,0.23853345,49.3,0.303,0.237753883,15.1,32.5,38.3,83.7,45.8,5.9,17.1,34.7,19.9,25.3,78.6,12.4,30.4,42.8,21,14.4,7.6,5.5,5.5,0.3,7652.0448,-0.003005733,0,99.6,0.2,0.077956727,1.11583797,7
129,Dallas Mavericks,Dallas Mavericks2009,2009,82,50,32,0.61,3961,8343,3128,6770,46.2,571,1632,35,1516,1852,81.9,909,2595,3504,1779,1043,591,429,334,162,56.9,1.71,29.7,70.7,50.4,13.6,50.4,55,92.68,0.274,0.223929099,49.3,0.282,0.22600243,13.9,29.3,37.5,82.3,45.5,6.3,16.8,37.5,18.6,23.3,79.8,10.8,30.6,41.4,19.6,13,7.2,4.1,5.2,-2,7410.1248,0.02186198,1.1,100.4,-0.3,-0.207333117,3.526672568,9
130,Orlando Magic,Orlando Magic2009,2009,82,59,23,0.72,3946,8286,2929,6416,45.7,817,2147,38.1,1611,2253,71.5,819,2728,3547,1593,1142,570,439,308,549,54.4,1.39,27.3,71.7,50.2,14.9,52,55.9,92.99,0.351,0.251091022,46.5,0.277,0.209189843,14,28.3,35.8,82.7,43.3,5.4,15.8,34.2,17.3,23,75.5,10.5,31.6,42.1,18.1,13.1,6.9,3.8,5.4,-6.7,7421.1072,0.073978179,5.5,99,0.9,4.190117964,-1.548671464,8.1
131,Boston Celtics,Boston Celtics2009,2009,82,62,20,0.756,3976,8275,3075,6333,48.6,538,1355,39.7,1587,2075,76.5,869,2586,3455,1862,1280,621,387,389,616,60.6,1.45,31.4,71.5,52.4,16.9,52.8,57.1,91.15,0.328,0.250592136,47,0.329,0.252873563,15.8,28.5,33.7,78.3,43.1,6.2,17.7,34.9,19.8,25.7,77.1,10.2,27.4,37.6,18.9,14.6,7.1,4.7,4.7,-7.5,7350.72,0.083801315,5.8,102.9,1.1,-0.228142679,-1.0917471,14.8
132,Sacramento Kings,Sacramento Kings2009,2009,82,17,65,0.207,3981,8248,2990,6685,44.7,586,1594,36.8,1682,2107,79.8,840,2366,3206,1619,1266,569,349,423,-718,54.1,1.28,28.9,66.9,47.7,16,49.1,54.2,95.29,0.315,0.251608078,52.6,0.355,0.268115942,14.9,33.1,40,82.8,48.3,7.1,17.4,40.6,22.2,29.4,75.6,12.4,31.6,44,21.9,14.4,8.6,5.2,4.3,8.8,7716.5568,-0.093046681,-3.5,95.8,1.1,-1.650786424,-0.400590202,3.7
133,Cleveland Cavaliers,Cleveland Cavaliers2009,2009,82,66,16,0.805,3956,8223,3022,6454,46.8,656,1670,39.3,1523,2012,75.7,886,2574,3460,1663,1045,593,435,338,732,55,1.59,30.6,70.7,51.2,14.1,51.9,56,89.61,0.312,0.235977688,46.8,0.294,0.226463104,15.4,29.3,33.8,78.6,43.1,5.9,17.6,33.3,17.8,23.1,77,10.7,28.2,38.9,19.1,13.9,6.3,4.1,5.3,-8.9,7198.3488,0.101689988,5.1,101.3,-1.3,0.951458393,-0.733366044,12.3
134,Portland Trail Blazers,Portland Trail Blazers2009,2009,82,54,28,0.659,3966,8153,3018,6494,46.5,596,1555,38.3,1521,1988,76.5,1060,2360,3420,1667,1055,550,402,319,438,55.2,1.58,35.5,70.8,52.8,14.5,51.1,55.3,88.02,0.306,0.2342162,49.9,0.282,0.22626788,14.9,29.2,35.4,76.9,46,5.9,15.9,37.4,17.4,21.7,80.3,9.6,26.7,36.3,19.4,13.2,6.3,3.9,4.9,-5.3,7069.1712,0.061959173,1.2,106.3,-0.4,0.79483192,-2.026054152,16.5
135,Milwaukee Bucks,Milwaukee Bucks2009,2009,82,34,48,0.415,3956,8142,3009,6755,44.5,511,1408,36.3,1613,2067,78,973,2367,3340,1802,1154,609,308,376,-89,59.9,1.56,31,69.9,49.6,14.9,48.3,53.1,93.89,0.306,0.238786084,50.3,0.398,0.314473684,17.4,30.1,34.8,76,45.8,6.9,18.1,37.8,23.9,30.2,79.1,10.1,30.8,41,21.1,16.5,7.5,4.6,3.8,1.1,7531.6608,-0.011816783,-2,100.9,-2.5,-7.568759983,-2.971808007,8.6
136,Toronto Raptors,Toronto Raptors2009,2009,82,33,49,0.402,3961,8121,3054,6673,45.8,479,1289,37.2,1534,1861,82.4,802,2513,3315,1835,1098,523,390,386,-231,60.1,1.67,27.6,70.6,49.3,14.3,49.4,54.2,93.26,0.279,0.229881612,51.1,0.258,0.201680672,14.2,29.4,38.7,83.3,46.5,7.7,20.9,36.7,16.8,21.5,78.4,10.9,31,41.9,23,13.3,6.4,4.7,4.8,2.8,7476.3264,-0.030897527,-1.7,98.2,0.1,2.82009402,-0.957447547,7.4
137,Houston Rockets,Houston Rockets2009,2009,82,53,29,0.646,3961,8070,2959,6526,45.3,621,1656,37.5,1531,1903,80.5,862,2662,3524,1662,1158,548,355,435,328,56.2,1.44,30.8,71.4,51.7,15.4,50.1,54.8,91.23,0.292,0.234600061,47.9,0.257,0.192448234,13.5,28.6,36.5,82.1,44.4,5.7,15.8,35.7,15.8,21.1,74.9,10.6,29.3,39.9,19.8,12.3,7.2,5.3,4.3,-4,7352.9472,0.044607963,2.2,102.2,1.9,4.215182743,3.563552913,11.8
138,Miami Heat,Miami Heat2009,2009,82,43,39,0.524,3991,8061,3034,6646,45.7,582,1631,35.7,1411,1871,75.4,828,2411,3239,1671,1026,651,451,335,21,55.1,1.63,28.2,69.3,48.4,13.6,50,54,90.8,0.282,0.212308155,50.1,0.325,0.250639386,16.5,30.7,35.6,78.2,45.5,7.2,18.5,38.9,19.6,25.4,77.1,10.9,30.9,41.9,20.1,15.2,6.4,4.1,5.5,-0.3,7360.5504,0.002853048,-0.1,97.5,-2.9,-3.833123091,-0.483780378,6.5
139,Atlanta Hawks,Atlanta Hawks2009,2009,82,47,35,0.573,3941,8046,2956,6451,45.8,597,1633,36.6,1537,2085,73.7,870,2412,3282,1657,1048,603,376,354,129,56.1,1.58,29.5,68.2,49,14.1,50.4,54.6,90.44,0.323,0.238257634,49.4,0.272,0.209677419,15.1,31.8,36.6,80.6,45.4,6.4,18.2,35.3,16.9,22,76.9,11.6,30.3,41.9,20.8,13.7,6.5,4.3,4.6,-1.6,7244.544,0.017806504,1,97.7,-1,2.858021512,0.104785403,7.1
140,New Jersey Nets,New Jersey Nets2009,2009,82,34,48,0.415,3966,8044,2925,6536,44.8,652,1735,37.6,1542,1980,77.9,850,2415,3265,1636,1075,559,391,393,-200,55.9,1.52,28.8,70.3,49.3,14.3,49.7,54.3,91.12,0.303,0.235924113,50.9,0.357,0.272143774,14.7,29.7,36,77.9,46.2,7.3,18.7,39.1,21.2,27.8,76.2,10.6,30.8,41.4,21.9,13.5,6.9,4.8,4.8,2.4,7326.912,-0.027296629,-1.2,99.1,-0.4,-3.621966146,0.179383123,7.9
141,Minnesota Timberwolves,Minnesota Timberwolves2009,2009,82,24,58,0.293,3961,8019,2986,6766,44.1,543,1539,35.3,1504,1957,76.9,975,2442,3417,1674,1165,512,322,484,-403,56.1,1.44,32.1,71.7,51.1,15.2,48.1,52.6,92.76,0.289,0.22228791,51.5,0.327,0.25375,13.4,28.3,37.9,80,47.4,6.5,17.3,37.7,20.3,26.2,77.8,9.9,31,40.9,21.5,12.5,7.4,5.9,3.9,4.9,7504.3968,-0.053701851,-3.4,103.8,1.8,-3.146208986,-1.441328063,10.2
142,Philadelphia 76ers,Philadelphia 76ers2009,2009,82,41,41,0.5,3951,7987,2997,6532,45.9,341,1072,31.8,1652,2216,74.5,1039,2336,3375,1647,1157,658,415,400,6,55,1.42,34.2,68,50.8,15.4,48.5,53.2,91.3,0.339,0.252908757,50.7,0.276,0.216182048,17,32,36.5,79.1,46.2,7.1,19.5,36.7,17.1,21.9,78.2,11.4,27.9,39.3,21.9,15.6,7,4.9,5.1,-0.1,7320.0384,0.000819668,-2.2,102.2,-1.6,3.672670885,-2.590995942,11.5
143,San Antonio Spurs,San Antonio Spurs2009,2009,82,54,28,0.659,3981,7958,3042,6534,46.6,625,1620,38.6,1249,1641,76.1,728,2638,3366,1736,963,474,329,352,308,57.1,1.8,25.8,74,50.2,13,51.3,54.8,89.19,0.251,0.191153964,48.7,0.249,0.191011236,13,26,36.3,80.1,45.3,5.5,14.4,37.9,15.3,19.9,76.9,9.1,31.3,40.4,18.1,11.7,6.5,4.3,4,-3.8,7191.3984,0.042828944,2.6,99.8,0,0.014272793,3.509802924,9.8
144,Oklahoma City Thunder,Oklahoma City Thunder2009,2009,82,23,59,0.28,3961,7952,2999,6716,44.7,328,949,34.6,1626,2069,78.6,999,2497,3496,1663,1330,608,371,407,-500,55.5,1.25,30.9,71.6,50.8,17,47.1,52.1,95.1,0.308,0.242108398,51.4,0.284,0.215922799,14.5,28.4,39.4,82.9,47.5,6.4,17.5,36.4,17.9,23.5,76.1,10.8,30.4,41.2,21.6,13.9,8.5,5,4.5,6.1,7639.0656,-0.065453031,-4.3,102.5,2.5,2.61855993,0.610646125,9.6
145,Washington Wizards,Washington Wizards2009,2009,82,19,63,0.232,3941,7877,2994,6655,45,395,1198,33,1494,1948,76.7,956,2330,3286,1641,1146,619,365,431,-612,54.8,1.43,31.3,68.9,49.5,15.1,48,52.4,92.26,0.293,0.224492863,53.3,0.298,0.225967541,15.1,31.1,38.6,80.1,48.2,8.2,21.2,38.7,18.1,23.9,75.9,11.4,30.4,41.8,24.6,13.9,7.2,5.3,4.5,7.5,7394.0352,-0.082769419,-5.3,100.2,0,-0.147467806,-2.302868996,7.7
146,New Orleans Hornets,New Orleans Hornets2009,2009,82,49,33,0.598,3951,7857,2911,6366,45.7,556,1526,36.4,1479,1833,80.7,802,2453,3255,1609,1029,593,338,290,127,55.3,1.56,28.2,70.7,49.6,14.1,50.1,54.8,88.74,0.288,0.232327992,49.6,0.297,0.229274611,14.9,29.3,34.8,77.2,45,7,19.8,35.4,17.7,22.9,77.3,10,30,40,20.1,13.3,5.8,3.5,4.1,-1.5,7103.5392,0.017878412,0.5,98.9,-0.8,0.305338106,4.874414878,9.6
147,Los Angeles Clippers,Los Angeles Clippers2009,2009,82,19,63,0.232,3976,7799,2955,6696,44.1,535,1513,35.4,1354,1839,73.6,890,2377,3267,1723,1221,572,482,414,-719,58.3,1.41,28.7,67.9,47.9,15.8,48.1,52,93.3,0.275,0.202210275,51.2,0.299,0.227710843,14.1,32.1,39.2,83,47.3,6.5,17.5,37.5,18.9,24.8,76,11.7,32.4,44.1,23.8,13.3,8,5,5.9,8.8,7522.7136,-0.095577213,-3.1,96.6,1.7,-2.550056858,1.569371586,3.8
148,Detroit Pistons,Detroit Pistons2009,2009,82,39,43,0.476,3981,7727,2981,6559,45.4,377,1079,34.9,1388,1849,75.1,949,2448,3397,1689,973,493,377,342,-40,56.7,1.74,31.1,71.1,50.8,13.3,48.3,52.4,88.02,0.282,0.211617625,48.5,0.32,0.248071979,13.2,28.9,35.1,77.8,45.1,5.3,15,35.4,19.3,24.9,77.5,10.5,29.9,40.4,20.1,11.8,5.6,4.2,4.6,0.5,7100.6976,-0.005633249,-0.2,102.2,0.1,-3.64543548,-1.234094984,10.4
149,Memphis Grizzlies,Memphis Grizzlies2009,2009,82,24,58,0.293,3961,7698,2865,6311,45.4,398,1106,36,1570,2077,75.6,847,2337,3184,1423,1252,615,385,443,-448,49.7,1.14,29.7,69.7,49.5,16.6,48.6,53.3,91.22,0.329,0.248771985,51.5,0.32,0.246786632,15.9,30.3,36.8,77.8,47.3,6.5,18.4,35.5,19.2,24.9,77,10.3,29.6,39.9,21.2,14.6,7.7,5.4,4.7,5.5,7324.6848,-0.061163041,-2.9,99.4,0.7,0.198535303,-3.248440532,9.6
150,Charlotte Bobcats,Charlotte Bobcats2009,2009,82,35,47,0.427,3986,7677,2866,6299,45.5,490,1339,36.6,1455,1965,74,886,2366,3252,1741,1279,580,397,488,-104,60.7,1.36,32.1,68.6,50.4,17.3,49.4,53.6,89.18,0.312,0.230989046,49.8,0.304,0.22997416,16.3,31.4,35.2,77.4,45.4,6.8,18.6,36.6,17.8,23.5,75.6,10.7,28.2,38.9,19.6,14.7,7.6,6,4.8,1.3,7254.336,-0.014336254,-0.4,100.7,1,0.101488567,-2.387339169,11.5
151,Phoenix Suns,Phoenix Suns2010,2010,82,54,28,0.659,3946,9039,3339,6788,49.2,730,1770,41.2,1631,2117,77,910,2616,3526,1912,1210,479,418,365,402,57.3,1.58,31.1,67.3,50.3,15.2,54.6,58.5,96.43,0.312,0.240276959,49.1,0.295,0.224256293,13.5,32.7,39.5,87.4,45.2,6.8,19.3,35.5,19.6,25.8,76,13.2,29.2,42.3,20.8,13,7.9,4.5,5.1,-4.9,7698.7008,0.052216603,5.5,98.4,1.7,1.602066643,-1.257124076,8
152,Golden State Warriors,Golden State Warriors2010,2010,82,26,56,0.317,3946,8922,3329,7094,46.9,633,1687,37.5,1631,2085,78.2,753,2397,3150,1839,1204,761,340,407,-295,55.2,1.53,25.4,65.9,45.3,14.4,51.4,55.7,101.52,0.294,0.229912602,52.5,0.34,0.25990676,17.3,34.1,41.6,85.8,48.5,6.9,18.5,37.5,22.3,29.1,76.7,13.4,34.7,48.1,24.1,17.6,7.9,5,4.1,3.6,8123.904,-0.036312591,-1.1,91.3,-2.9,-2.999415771,-5.836432617,-2.8
153,Denver Nuggets,Denver Nuggets2010,2010,82,53,29,0.646,3956,8729,3124,6678,46.8,544,1517,35.9,1937,2508,77.2,889,2505,3394,1719,1136,683,417,438,335,55,1.51,30.4,68.7,49.8,14.4,50.9,56.1,95.61,0.376,0.290056903,49.5,0.326,0.250909091,15.7,31.3,37.7,82.5,45.6,6.4,18.3,34.9,20.7,26.9,76.8,11.6,30.6,42.3,21,15.1,7,5.3,5.1,-4.1,7707.3792,0.04346484,1.4,99.1,-1.3,3.914781236,0.940974866,7.5
154,Utah Jazz,Utah Jazz2010,2010,82,53,29,0.646,3951,8547,3227,6575,49.1,439,1207,36.4,1654,2233,74.1,872,2588,3460,2187,1246,675,400,445,438,67.8,1.76,31.3,71.8,52,16,52.4,56.5,94.68,0.34,0.251558935,49.2,0.353,0.26869455,15.9,28.2,35.5,78.9,44.9,6.7,19,35.4,21.2,27.9,76.2,10.2,29,39.2,19.9,15.1,7.7,5.4,4.9,-5.3,7614.2592,0.057523652,3.2,103.1,0.1,-1.71356147,-2.665307194,12.8
155,Toronto Raptors,Toronto Raptors2010,2010,82,40,42,0.488,3956,8534,3199,6631,48.2,518,1397,37.1,1618,2118,76.4,806,2507,3313,1804,1100,469,384,360,-146,56.4,1.64,28.8,69.2,49.5,14.2,52.1,56.4,93.94,0.319,0.244005429,51.3,0.314,0.246394231,13.4,30.8,39,83.2,46.8,7.4,20.3,36.6,20.5,26.2,78.4,11.4,29.9,41.3,23,12.7,7.1,4.4,4.7,1.8,7542.6432,-0.01935661,0.8,98,0.8,-0.238880172,1.449097396,8.2
156,Orlando Magic,Orlando Magic2010,2010,82,59,23,0.72,3946,8426,3005,6394,47,841,2241,37.5,1575,2176,72.4,810,2736,3546,1615,1155,512,456,288,614,53.7,1.4,28,72.6,51.2,15.2,53.6,57.3,92.54,0.34,0.246324679,47.7,0.272,0.204379562,13.8,27.4,36,82.2,43.8,6.4,17.5,36.3,16.8,22.3,75.4,9.8,30.3,40,18.9,12.8,6.7,3.5,5.6,-7.5,7388.5824,0.083101191,5.9,100.6,1.4,4.194511734,-3.671625215,11.2
157,Memphis Grizzlies,Memphis Grizzlies2010,2010,82,40,42,0.488,3981,8404,3223,6875,46.9,344,1020,33.7,1614,2202,73.3,1070,2496,3566,1543,1248,645,399,501,-124,47.9,1.24,35.5,69.8,52.3,16,49.4,53.6,94.29,0.32,0.234763636,52,0.271,0.204790419,14.9,30.2,40,83.5,47.8,7,19.7,35.4,17.1,22.7,75.5,11.1,28.6,39.7,22.9,14.2,7.7,6.1,4.9,1.5,7701.0048,-0.016101795,-2.6,105.3,1.1,2.99732172,2.682039864,12.6
158,Houston Rockets,Houston Rockets2010,2010,82,42,40,0.512,3981,8395,3094,6923,44.7,646,1838,35.1,1561,2022,77.2,971,2471,3442,1790,1188,583,318,532,-30,57.9,1.51,30.9,69.9,49.8,15.1,49.4,53.7,94.91,0.292,0.225480283,51.1,0.281,0.215662651,15.3,30.1,39.5,83,47.5,6,16.4,36.4,17.9,23.4,76.4,10.7,32.1,42.8,20.9,14.7,7.3,6.5,3.9,0.4,7708.4928,-0.003891811,-1.7,100.8,-0.2,0.981763251,4.898321784,7
159,Cleveland Cavaliers,Cleveland Cavaliers2010,2010,82,61,21,0.744,3956,8373,3101,6391,48.5,602,1582,38.1,1569,2180,72,791,2692,3483,1835,1137,564,425,325,535,59.2,1.61,29.3,72.5,51.9,15,53.2,57,91.77,0.341,0.245501486,48.2,0.288,0.217552534,13.8,27.5,35.8,80.9,44.2,6.4,18.4,34.7,17.6,23.3,75.7,9.7,28.9,38.5,20.3,12.7,6.6,4,5.2,-6.5,7388.352,0.072411277,5,101.8,1.2,2.794895247,0.46983355,13.4
160,New York Knicks,New York Knicks2010,2010,82,29,53,0.354,3976,8373,3127,6876,45.5,743,2145,34.6,1376,1759,78.2,836,2477,3313,1772,1148,586,305,368,-313,56.7,1.54,26.8,69.1,47.6,14.6,50.9,54.7,95.03,0.256,0.200116347,52.6,0.275,0.206650831,15,30.9,40.9,84.2,48.6,6.7,19.2,35.2,17.4,23.1,75.4,11.7,33.2,44.9,21,14.4,7.1,4.5,3.7,3.8,7643.4816,-0.040949925,-1.7,95.9,-0.4,-0.653448464,-0.771798591,2.7
161,Dallas Mavericks,Dallas Mavericks2010,2010,82,55,27,0.671,3976,8364,3140,6760,46.4,558,1498,37.2,1526,1870,81.6,834,2586,3420,1917,1059,624,449,337,223,61.1,1.81,27.9,69.7,49.3,13.7,50.6,55.2,93.6,0.277,0.225739645,49.5,0.272,0.206024096,15.4,30.3,37.9,83,45.7,6.4,18.5,34.7,17.1,22.5,75.8,11.2,31.6,42.9,20.2,14.6,6.9,4.1,5.5,-2.7,7495.488,0.029751232,1.1,97.6,-1.7,1.971554858,6.320504667,6.4
162,Los Angeles Lakers,Los Angeles Lakers2010,2010,82,57,25,0.695,3966,8339,3144,6875,45.7,532,1562,34.1,1519,1985,76.5,973,2662,3635,1730,1096,612,400,363,387,55,1.58,31.4,70.8,51.2,14.1,49.6,53.8,93.73,0.289,0.220945455,48.4,0.26,0.194244604,15,29.2,37.2,83.4,44.6,6.3,19.3,32.8,16.2,21.7,75,11.1,31,42.2,21.9,14.1,7,4.4,4.9,-4.7,7556.544,0.051213888,1.2,102.2,-0.9,2.670085023,3.625481656,9
163,Atlanta Hawks,Atlanta Hawks2010,2010,82,53,29,0.646,3971,8338,3181,6801,46.8,524,1455,36,1452,1914,75.9,969,2451,3420,1789,980,592,413,359,382,56.2,1.83,32,68.5,50.2,13,50.6,54.5,90.77,0.281,0.213498015,49.6,0.28,0.207920792,15.1,31.5,37.2,80.8,46,5.9,17,34.5,16.8,22.6,74.5,11.2,30.1,41.4,21,13.8,6.2,4.4,5,-4.7,7347.9936,0.051986981,1,100.5,-2.1,0.557722292,0.504715621,8.8
164,Oklahoma City Thunder,Oklahoma City Thunder2010,2010,82,50,32,0.61,3961,8322,3063,6629,46.2,418,1229,34,1778,2210,80.5,960,2607,3567,1639,1227,654,481,384,286,53.5,1.34,32,69.4,51.1,15.8,49.4,54.7,94.13,0.333,0.268215417,48.3,0.3,0.22954823,15.9,30.6,36.7,81.9,44.8,5.9,17.2,34,18.8,24.6,76.4,11.4,29.2,40.7,19.7,15.1,7.5,4.7,5.9,-3.5,7553.664,0.03786242,1.1,101.4,-0.1,3.866718756,-0.269547503,10.4
165,San Antonio Spurs,San Antonio Spurs2010,2010,82,50,32,0.61,3956,8312,3150,6659,47.3,554,1547,35.8,1458,1969,74,887,2621,3508,1829,1116,516,381,417,417,58.1,1.64,30.3,72,51.5,14.7,51.5,55.2,92.26,0.296,0.218951795,48.3,0.283,0.214460784,13.6,28,36.9,81.6,45.2,5,14.6,34.3,17.5,23.1,75.6,9.9,29.6,39.5,19.2,12.6,6.9,5.1,4.6,-5.1,7444.1856,0.056016873,3.2,102.3,1.1,0.449101025,-3.027428241,12
166,Indiana Pacers,Indiana Pacers2010,2010,82,32,50,0.39,3941,8263,3020,6823,44.3,659,1896,34.8,1564,2019,77.5,785,2618,3403,1730,1232,585,439,414,-247,57.3,1.4,25.5,69,47.3,15.4,49.1,53.6,97.77,0.296,0.229224681,49,0.341,0.257756563,15.3,31,38,83.8,45.3,6.2,17.1,36.3,21.6,28.6,75.6,11.8,34.8,46.6,20.7,15,8,5,5.4,3,7832.0256,-0.03153718,0.1,94.5,0.1,-2.853188202,0.632894718,0.7
167,New Orleans Hornets,New Orleans Hornets2010,2010,82,37,45,0.451,3966,8220,3178,6842,46.4,571,1572,36.3,1293,1661,77.8,852,2450,3302,1828,1103,625,300,367,-202,57.5,1.66,28.2,69.6,48.6,14.3,50.6,54.3,93.53,0.243,0.18897983,52.3,0.274,0.205846529,15.2,30.4,39.6,82.1,48.3,6.6,18.5,35.5,16.9,22.5,75.1,10.6,31.5,42.1,23.5,14.4,7,4.5,3.7,2.5,7510.8864,-0.026894296,-1.7,97.8,-0.9,-1.686669816,3.811116795,6.5
168,Sacramento Kings,Sacramento Kings2010,2010,82,25,57,0.305,3976,8200,3144,6895,45.6,482,1383,34.9,1430,1969,72.6,977,2518,3495,1679,1226,564,366,468,-358,53.4,1.37,31.5,70,50.4,15.6,49.1,52.8,94.78,0.286,0.207396664,50.5,0.315,0.243697479,14.3,30,39,83.3,46.9,6.1,17,35.7,20.3,26.2,77.4,11.1,31,42,20.5,13.7,7.1,5.7,4.5,4.4,7689.9456,-0.046554296,-1.4,101.5,1.3,-3.630081474,-5.993990419,8.4
169,Boston Celtics,Boston Celtics2010,2010,82,50,32,0.61,3956,8136,3039,6294,48.3,499,1433,34.8,1559,2090,74.6,716,2449,3165,1930,1219,701,402,386,300,63.5,1.58,27.4,69.7,49.3,16,52.2,56.4,92.22,0.332,0.247696219,48.7,0.337,0.251604621,16.9,30.3,35.1,77.9,45.1,5.7,16.8,34.2,19.6,26.2,74.6,10.6,29.5,40.1,19.3,15.6,7,4.7,4.9,-3.7,7407.936,0.04049711,3.5,97.1,-0.9,-0.390840269,-2.691803944,9.2
170,Minnesota Timberwolves,Minnesota Timberwolves2010,2010,82,15,67,0.183,3956,8051,3106,6923,44.9,403,1181,34.1,1436,1926,74.6,962,2556,3518,1626,1333,597,306,442,-787,52.4,1.22,30.8,70.5,50.1,16.7,47.8,51.8,97.12,0.278,0.207424527,52.5,0.285,0.220259128,14.6,29.5,40.8,84.9,48,7.5,20.6,36.6,18.7,24.2,77.4,11.2,32.2,43.4,25.6,14.3,8.8,5.4,3.7,9.6,7815.7824,-0.100693694,-4.7,101.3,2.1,-1.283460145,-2.579350487,6.7
